"NaturalElement","Link"
"abacus","https://iconclass.org/49D5311"
"acanthus plant","https://iconclass.org/25G4(ACANTHUS)"
"altar",""
"altarpiece",""
"amoretto",""
"amphitheater",""
"amphora",""
"animal",""
"anklet with bells",""
"anteroom",""
"ape","https://iconclass.org/25F22"
"apple","https://iconclass.org/25G21(APPLE)"
"apse",""
"arch","https://iconclass.org/48C162"
"architecture",""
"aries",""
"armor",""
"arms lifted",""
"arms lowered",""
"arrow","https://iconclass.org/45C15(ARROW)"
"ax",""
"axe","https://iconclass.org/47D8(AXE)"
"baby",""
"bag","https://iconclass.org/41D268"
"balance","https://iconclass.org/46B3311"
"balance of the arms",""
"bald-headed",""
"band",""
"bandage","https://iconclass.org/49G3211"
"barrel","https://iconclass.org/41A775"
"base with strigilated motif",""
"basket with roses",""
"bat wings",""
"bathing trunks",""
"battle",""
"battling monsters",""
"beams of light",""
"bear","https://iconclass.org/25F23(BEAR)"
"beard",""
"bed","https://iconclass.org/41A761"
"beggars","https://iconclass.org/46A151"
"bellow","https://iconclass.org/41B1311"
"bellows","https://iconclass.org/41B1311"
"belt","https://iconclass.org/41D2656"
"belt of flowers",""
"biga",""
"bird",""
"birth chamber",""
"bishop",""
"bitten apple",""
"blacksmith","https://iconclass.org/47B111"
"block",""
"boar","https://iconclass.org/25F24(BOAR)"
"boat",""
"body covered with feathers",""
"bone",""
"book",""
"books",""
"boots","https://iconclass.org/41D23321"
"bow",""
"bowl of grapes",""
"bowl","https://iconclass.org/41C345"
"box",""
"boy",""
"branch",""
"broken string",""
"building",""
"bull","https://iconclass.org/47I2111"
"bunch of grapes","https://iconclass.org/47I4222"
"bundle of logs",""
"bundle of sticks",""
"bust with three heads",""
"camel","https://iconclass.org/25F24(CAMEL)"
"cameo",""
"caned boats",""
"capital","https://iconclass.org/48C1612"
"carcass",""
"cart","https://iconclass.org/46C145"
"cash-box",""
"catafalque",""
"ceiling","https://iconclass.org/41A44"
"celestial spheres","https://iconclass.org/24G"
"central circle",""
"central zone of the tomb",""
"chain with a heart",""
"chain","https://iconclass.org/47D8(CHAIN)"
"chalice","https://iconclass.org/49E39313(CHALICE)"
"charger",""
"chariot","https://iconclass.org/43C21312"
"charioteer","https://iconclass.org/43C21311"
"chart","https://iconclass.org/49D22"
"chest",""
"child",""
"chlamys",""
"choir","https://iconclass.org/48C7552"
"church",""
"church exterior",""
"church interior",""
"circle","https://iconclass.org/49D36"
"cithara","https://iconclass.org/48C7321"
"city",""
"classical relief",""
"classical setting",""
"cleric",""
"cloak","https://iconclass.org/41D212 @ https://iconclass.org/41D2121"
"clock","https://iconclass.org/23U24"
"cloth",""
"clothes",""
"cloud","https://iconclass.org/26A"
"club","https://iconclass.org/45C12(CLUB)"
"coat","https://iconclass.org/41D2121"
"cock",""
"coffin","https://iconclass.org/42E141"
"coins","https://iconclass.org/46B311"
"column","https://iconclass.org/48C161"
"concave line",""
"concentric circle",""
"cone shell",""
"constellation","https://iconclass.org/24D1"
"convex line",""
"cornerstone of a church",""
"cornice","https://iconclass.org/48C168(...)"
"cornucopia",""
"corpse",""
"cortège",""
"country church",""
"couple embracing",""
"coupled pilasters",""
"court dress","https://iconclass.org/41D211(COURT GOWN)"
"court official","https://iconclass.org/44G131"
"criminals","https://iconclass.org/44G5"
"cripples",""
"crosier",""
"cross",""
"crossbreed between forechoir and transept",""
"crowd of people",""
"crown","https://iconclass.org/44B191"
"crown of roses",""
"crucifix",""
"cruciform halo",""
"crunch",""
"crutch",""
"cudgel",""
"cup","https://iconclass.org/41C321"
"cupboard","https://iconclass.org/41A731"
"curls",""
"curtain","https://iconclass.org/41A421"
"cutten head",""
"cymbal",""
"dais",""
"dead body of a man",""
"decoration strigilated",""
"decoration with crockets",""
"decoration with the head of a bat",""
"deer","https://iconclass.org/25F24(DEER)"
"demon",""
"desk",""
"desolate scenery",""
"dog",""
"dolphin","https://iconclass.org/25F27(DOLPHIN)"
"donkey",""
"dove","https://iconclass.org/25F39(DOVE)"
"dragon biting its tail",""
"dragoon",""
"dragoon body",""
"dragoon without wings",""
"drapery","https://iconclass.org/41A422"
"dress",""
"drops of blood",""
